table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Colorado: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Aguilar town, Colorado",538,537,534,517,512,485,468,468,469,473,482,480
"Akron town, Colorado","1,702","1,702","1,705","1,684","1,665","1,677","1,672","1,690","1,705","1,730","1,718","1,723"
"Alamosa city, Colorado","8,780","8,876","8,917","9,030","9,035","9,109","9,156","9,270","9,361","9,455","9,566","9,591"
"Alma town, Colorado",270,274,275,272,272,275,280,285,296,304,312,313
"Antonito town, Colorado",781,781,786,784,777,770,770,751,745,749,750,747
"Arriba town, Colorado",193,193,193,192,193,192,195,197,202,201,203,207
"Arvada city, Colorado","106,433","106,760","106,917","108,084","110,229","111,872","113,692","115,406","117,710","118,950","120,421","121,272"
"Aspen city, Colorado","6,658","6,748","6,750","6,739","6,781","6,843","6,970","7,279","7,511","7,476","7,478","7,401"
"Ault town, Colorado","1,519","1,527","1,533","1,551","1,569","1,592","1,627","1,652","1,719","1,787","1,843","1,871"
"Aurora city, Colorado","325,078","324,659","326,055","332,730","339,261","345,613","352,660","360,098","363,277","367,574","374,572","379,289"
"Avon town, Colorado","6,447","6,396","6,379","6,370","6,408","6,453","6,500","6,542","6,595","6,573","6,490","6,511"
"Basalt town, Colorado","3,857","3,840","3,834","3,825","3,843","3,867","3,887","3,887","3,918","4,163","4,152","4,157"
"Bayfield town, Colorado","2,333","2,317","2,339","2,372","2,418","2,468","2,506","2,547","2,600","2,666","2,691","2,689"
"Bennett town, Colorado","2,308","2,300","2,308","2,343","2,376","2,411","2,437","2,469","2,483","2,472","2,504","2,798"
"Berthoud town, Colorado","5,105","5,193","5,210","5,277","5,370","5,489","5,845","6,040","6,278","6,856","7,874","9,094"
"Bethune town, Colorado",237,237,237,240,239,236,236,238,236,234,237,235
"Black Hawk city, Colorado",118,118,118,117,117,119,123,124,126,127,127,128
"Blanca town, Colorado",385,385,384,393,390,383,383,381,390,391,396,406
"Blue River town, Colorado",849,848,850,850,861,871,882,901,917,924,922,921
"Bonanza town, Colorado",16,16,16,17,17,17,16,17,17,18,19,19
"Boone town, Colorado",339,346,346,349,349,350,350,355,359,361,364,367
"Boulder city, Colorado","97,385","97,612","97,752","100,137","101,160","102,719","104,451","106,742","107,128","106,447","106,008","105,673"
"Bow Mar town, Colorado",866,844,846,857,872,888,903,923,949,938,946,942
"Branson town, Colorado",74,74,73,71,72,68,67,67,67,69,71,72
"Breckenridge town, Colorado","4,540","4,537","4,549","4,545","4,598","4,672","4,747","4,875","4,939","4,938","4,965","4,945"
"Brighton city, Colorado","33,352","33,540","33,687","34,316","34,933","36,531","37,189","38,218","38,985","40,349","40,898","41,554"
"Brookside town, Colorado",233,233,233,235,242,241,242,244,249,256,259,262
"Broomfield city, Colorado","55,889","55,861","56,226","57,493","58,971","60,149","61,764","64,866","66,513","68,263","69,324","70,465"
"Brush city, Colorado","5,463","5,473","5,486","5,518","5,468","5,450","5,411","5,423","5,373","5,377","5,420","5,420"
"Buena Vista town, Colorado","2,617","2,560","2,560","2,581","2,598","2,659","2,665","2,690","2,736","2,789","2,815","2,866"
"Burlington city, Colorado","4,254","4,254","4,251","4,108","4,025","4,240","3,970","4,182","3,617","3,162","3,169","3,140"
"Calhan town, Colorado",780,780,785,797,805,808,809,813,825,833,838,834
"Campo town, Colorado",109,109,110,109,107,105,103,102,101,102,103,102
"Cañon City city, Colorado","16,400","16,417","16,412","16,446","16,442","16,227","16,177","16,233","16,414","16,555","16,741","16,725"
"Carbondale town, Colorado","6,427","6,447","6,408","6,398","6,466","6,484","6,517","6,605","6,747","6,800","6,861","6,898"
"Carbonate town, Colorado",(X),-,-,-,-,-,-,-,-,-,-,-
"Castle Pines city, Colorado",(X),"10,333","10,369","10,451","10,582","10,636","10,684","10,645","10,572","10,514","10,545","10,763"
"Castle Rock town, Colorado","48,231","48,251","48,586","49,693","51,017","52,657","55,154","57,175","59,284","62,297","65,000","68,484"
"Cedaredge town, Colorado","2,253","2,251","2,244","2,211","2,208","2,214","2,176","2,171","2,208","2,222","2,259","2,295"
"Centennial city, Colorado","100,377","100,635","100,989","102,508","104,249","106,634","107,438","109,120","109,735","110,388","110,814","110,937"
"Center town, Colorado","2,230","2,241","2,247","2,247","2,282","2,235","2,203","2,204","2,242","2,290","2,315","2,264"
"Central City city, Colorado",663,660,665,659,660,671,706,715,725,731,762,770
"Cheraw town, Colorado",252,254,254,254,251,248,249,247,246,250,250,249
"Cherry Hills Village city, Colorado","5,987","5,987","6,014","6,124","6,248","6,380","6,471","6,588","6,666","6,652","6,650","6,647"
"Cheyenne Wells town, Colorado",846,846,846,861,866,868,851,840,842,843,844,828
"City of Creede town, Colorado",290,290,286,288,290,297,285,303,308,306,315,313
"Coal Creek town, Colorado",343,345,345,345,344,341,340,340,344,346,350,350
"Cokedale town, Colorado",129,129,128,125,124,119,116,116,116,117,119,120
"Collbran town, Colorado",708,692,690,693,692,687,684,681,687,693,696,698
"Colorado Springs city, Colorado","416,427","417,447","420,685","427,434","432,782","438,146","442,361","449,572","458,714","465,167","472,567","478,221"
"Columbine Valley town, Colorado","1,256","1,256","1,260","1,281","1,305","1,324","1,331","1,362","1,412","1,444","1,486","1,499"
"Commerce City city, Colorado","45,913","45,864","46,128","47,507","48,504","49,717","51,468","53,161","54,523","55,925","58,324","60,336"
"Cortez city, Colorado","8,482","8,471","8,486","8,470","8,472","8,505","8,495","8,542","8,644","8,693","8,716","8,736"
"Craig city, Colorado","9,464","9,468","9,465","9,205","9,024","8,981","8,837","8,827","8,955","8,903","8,957","9,022"
"Crawford town, Colorado",431,432,431,424,423,425,417,416,421,425,429,433
"Crested Butte town, Colorado","1,487","1,496","1,489","1,498","1,507","1,521","1,544","1,582","1,613","1,659","1,691","1,723"
"Crestone town, Colorado",127,125,127,128,130,128,133,134,138,141,144,140
"Cripple Creek city, Colorado","1,189","1,226","1,232","1,226","1,224","1,214","1,213","1,199","1,228","1,247","1,258","1,258"
"Crook town, Colorado",110,110,110,109,109,108,108,108,107,107,107,109
"Crowley town, Colorado",176,176,178,180,176,174,173,169,170,169,175,175
"Dacono city, Colorado","4,152","4,157","4,186","4,289","4,372","4,445","4,615","4,893","5,297","5,601","5,828","6,034"
"De Beque town, Colorado",504,506,504,506,507,502,499,498,502,505,511,518
"Deer Trail town, Colorado",546,547,549,557,566,575,585,621,692,699,734,800
"Del Norte town, Colorado","1,686","1,680","1,685","1,664","1,654","1,625","1,598","1,576","1,576","1,571","1,566","1,568"
"Delta city, Colorado","8,915","8,884","8,857","8,732","8,796","8,798","8,642","8,670","8,764","8,808","8,900","8,995"
"Denver city, Colorado","600,158","599,825","603,359","620,530","635,163","649,391","664,582","683,285","696,159","704,961","716,265","727,211"
"Dillon town, Colorado",904,903,905,903,909,920,932,951,965,968,962,967
"Dinosaur town, Colorado",339,339,339,329,324,322,317,318,324,325,330,332
"Dolores town, Colorado",936,928,929,924,923,927,927,933,942,948,950,955
"Dove Creek town, Colorado",735,724,726,704,669,667,639,631,648,639,635,634
"Durango city, Colorado","16,887","16,889","16,893","16,998","17,257","17,673","17,762","18,113","18,431","18,471","18,983","18,973"
"Eads town, Colorado",609,609,611,617,607,599,591,593,575,586,591,602
"Eagle town, Colorado","6,508","6,508","6,493","6,481","6,515","6,552","6,616","6,705","6,794","6,851","6,916","6,986"
