"zip","city","county","pop"
"80013","Aurora","Arapahoe","72887"
"80219","Denver","Denver","69190"
"80015","Aurora","Arapahoe","67959"
"80134","Parker","Douglas","66679"
"80634","Greeley","Weld","58208"
"80631","Greeley","Weld","55857"
"80229","Denver","Adams","54946"
"80016","Aurora","Arapahoe","54651"
"80525","Fort Collins","Larimer","54286"
"80504","Longmont","Weld","54023"
"80012","Aurora","Arapahoe","53032"
"80011","Aurora","Adams","50675"
"80233","Denver","Adams","50478"
"80022","Commerce City","Adams","50392"
"80020","Broomfield","Boulder","49657"
"80918","Colorado Springs","El Paso","49232"
"80538","Loveland","Larimer","48260"
"80239","Denver","Denver","47489"
"80123","Littleton","Jefferson","46586"
"80526","Fort Collins","Larimer","46346"
"80127","Littleton","Jefferson","44851"
"80126","Littleton","Douglas","43801"
"80537","Loveland","Larimer","43637"
"80010","Aurora","Arapahoe","43477"
"80401","Golden","Jefferson","42169"
"80221","Denver","Adams","42046"
"80501","Longmont","Boulder","41951"
"80916","Colorado Springs","El Paso","41098"
"80601","Brighton","Adams","39816"
"80920","Colorado Springs","El Paso","39758"
"80014","Aurora","Arapahoe","39243"
"80909","Colorado Springs","El Paso","39119"
"80231","Denver","Denver","37241"
"80521","Fort Collins","Larimer","37076"
"80004","Arvada","Jefferson","37042"
"80003","Arvada","Jefferson","36969"
"80017","Aurora","Arapahoe","36613"
"80210","Denver","Denver","36296"
"80128","Littleton","Jefferson","36293"
"80906","Colorado Springs","El Paso","36199"
"80227","Denver","Denver","36034"
"80220","Denver","Denver","35999"
"80524","Fort Collins","Larimer","35753"
"80031","Westminster","Adams","35509"
"80911","Colorado Springs","El Paso","35170"
"80602","Brighton","Adams","34857"
"80503","Longmont","Boulder","34791"
"80260","Denver","Adams","34538"
"80205","Denver","Denver","34381"
"80211","Denver","Denver","34144"
"80228","Denver","Jefferson","34109"
"80204","Denver","Denver","34098"
"80027","Louisville","Boulder","33830"
"80021","Broomfield","Jefferson","33725"
"80138","Parker","Douglas","33603"
"80241","Denver","Adams","33431"
"80122","Littleton","Arapahoe","33103"
"80112","Englewood","Arapahoe","33081"
"80111","Englewood","Arapahoe","32864"
"80226","Denver","Jefferson","32640"
"81005","Pueblo","Pueblo","32062"
"81007","Pueblo","Pueblo","31860"
"80120","Littleton","Arapahoe","31830"
"80917","Colorado Springs","El Paso","31541"
"81001","Pueblo","Pueblo","30764"
"81212","Canon City","Fremont","30743"
"80104","Castle Rock","Douglas","30718"
"80249","Denver","Denver","30625"
"81301","Durango","La Plata","30409"
"80817","Fountain","El Paso","30350"
"80910","Colorado Springs","El Paso","30196"
"80129","Littleton","Douglas","30058"
"80026","Lafayette","Boulder","29576"
"80922","Colorado Springs","El Paso","29134"
"80005","Arvada","Jefferson","29117"
"80302","Boulder","Boulder","29109"
"80130","Littleton","Douglas","28932"
"80907","Colorado Springs","El Paso","28897"
"81504","Grand Junction","Mesa","28669"
"80550","Windsor","Weld","28403"
"80234","Denver","Adams","28254"
"80919","Colorado Springs","El Paso","28146"
"80304","Boulder","Boulder","27038"
"80207","Denver","Denver","26592"
"80516","Erie","Weld","26323"
"80214","Denver","Jefferson","26245"
"81004","Pueblo","Pueblo","26033"
"80301","Boulder","Boulder","25690"
"80033","Wheat Ridge","Jefferson","25323"
"80209","Denver","Denver","25271"
"80831","Peyton","El Paso","25048"
"80439","Evergreen","Jefferson","24687"
"80303","Boulder","Boulder","24631"
"80206","Denver","Denver","24527"
"81501","Grand Junction","Mesa","23950"
"80921","Colorado Springs","El Paso","23618"
"80222","Denver","Denver","23044"
"81401","Montrose","Montrose","22633"
"80232","Denver","Jefferson","22553"
"80110","Englewood","Arapahoe","22523"
"80124","Littleton","Douglas","21384"
"80915","Colorado Springs","El Paso","21325"
"80528","Fort Collins","Larimer","21259"
"80237","Denver","Denver","20982"
"80203","Denver","Denver","20937"
"80132","Monument","El Paso","20843"
"80223","Denver","Denver","20650"
"80904","Colorado Springs","El Paso","20235"
"80403","Golden","Jefferson","20021"
