,index,homes for sale,homes for sale in,properties for sale,for sale home,homes for sales,townhomes for sale,townhouses for sale,townhouse for sale,Homes in,townhouses in,Homes near me,for sale by owner,zillow homes for sale
0,2016-03,76.5,86.75,38.0,65.75,36.25,47.5,11.0,46.5,91.25,45.75,14.0,73.0,21.5
1,2016-04,74.0,85.5,58.75,61.75,24.0,68.75,22.75,34.5,93.5,22.5,15.25,79.25,32.75
2,2016-05,71.6,82.4,47.2,78.2,34.4,56.8,33.4,24.0,88.0,37.0,13.4,63.6,27.6
3,2016-06,66.5,81.75,57.25,67.75,19.75,49.0,23.25,34.75,82.0,38.25,18.5,72.5,35.5
4,2016-07,72.2,82.4,54.8,69.6,22.2,56.8,29.6,28.8,83.6,32.0,17.2,73.6,39.8
5,2016-08,68.0,73.25,40.75,64.0,27.5,35.25,21.5,56.75,79.0,30.75,15.25,61.25,25.0
6,2016-09,61.5,68.5,36.5,63.25,28.5,42.25,25.5,40.5,70.75,35.5,14.25,53.0,35.5
7,2016-10,57.0,69.4,36.8,61.8,35.4,53.2,28.0,14.6,66.6,27.4,18.0,56.4,27.0
8,2016-11,48.0,55.75,37.0,50.5,24.75,45.25,25.75,14.5,58.0,27.25,14.25,50.5,31.25
9,2016-12,47.0,54.75,43.25,44.25,30.0,29.75,28.0,6.5,54.0,16.5,16.25,49.0,19.25
10,2017-01,63.8,71.2,45.6,65.6,45.0,58.2,34.0,44.0,78.8,25.4,23.8,54.2,27.4
11,2017-02,65.75,80.0,53.75,64.25,32.25,48.5,22.75,43.5,78.0,35.25,21.75,57.25,35.75
12,2017-03,74.25,79.5,56.0,81.25,24.5,58.0,25.75,44.5,77.75,33.5,28.0,71.0,38.5
13,2017-04,69.8,77.4,53.6,68.8,29.2,58.8,39.0,26.4,80.4,38.2,28.4,66.2,42.6
14,2017-05,67.5,75.75,52.75,63.75,43.0,46.75,39.0,47.75,77.0,33.75,23.75,61.75,38.5
15,2017-06,71.25,80.5,52.5,68.0,34.5,60.5,34.75,38.25,75.75,38.5,27.0,70.25,29.25
16,2017-07,74.4,80.8,42.0,68.2,34.0,50.8,33.4,44.2,79.4,38.4,31.8,67.4,36.6
17,2017-08,66.0,69.75,51.5,67.0,17.25,53.5,25.5,40.5,71.75,24.5,33.0,66.0,40.75
18,2017-09,52.75,57.75,39.5,58.5,19.25,35.0,35.0,40.0,66.0,34.75,32.75,54.5,26.75
19,2017-10,56.4,63.8,56.0,56.0,24.2,36.0,24.0,28.4,63.8,29.6,27.6,48.4,39.2
20,2017-11,50.5,56.25,40.75,50.25,20.5,46.75,33.0,25.25,56.75,28.0,25.0,44.5,35.5
21,2017-12,50.2,57.2,38.0,52.2,31.0,42.0,21.0,28.4,58.8,33.6,31.0,50.8,31.0
22,2018-01,65.25,76.0,46.25,68.25,26.75,53.75,64.25,53.0,70.25,30.0,36.75,54.25,37.25
23,2018-02,64.75,70.75,45.5,53.0,26.5,45.0,31.25,30.75,71.5,24.75,32.75,49.75,32.25
24,2018-03,69.75,77.5,46.25,60.25,47.0,61.0,37.5,22.5,75.25,38.0,30.0,59.5,39.75
25,2018-04,68.8,76.0,47.6,63.0,32.8,49.8,39.0,29.8,73.2,31.2,33.6,70.8,46.4
26,2018-05,66.75,69.25,54.25,69.5,35.25,51.75,41.25,37.5,73.25,31.0,37.25,52.0,52.0
27,2018-06,69.5,73.75,45.5,61.5,32.25,46.75,20.5,0.0,69.75,25.25,46.5,63.25,42.0
28,2018-07,70.0,78.4,50.6,69.2,34.4,62.2,25.4,33.2,75.2,27.4,33.2,63.8,45.0
29,2018-08,67.75,74.75,51.75,64.25,21.25,45.75,27.5,28.25,69.25,39.75,42.75,74.25,39.0
30,2018-09,56.6,66.6,44.6,58.6,32.4,39.0,11.8,46.2,64.0,25.2,42.8,58.4,35.6
31,2018-10,52.5,58.0,45.5,47.75,16.25,48.25,15.0,31.5,57.5,37.5,27.75,51.25,25.75
32,2018-11,55.75,59.75,39.5,46.75,21.5,55.25,20.25,19.25,55.25,21.25,36.0,44.0,40.5
33,2018-12,56.4,64.2,31.4,53.0,26.0,42.6,25.2,21.8,57.2,20.0,37.8,56.6,38.0
34,2019-01,58.5,66.0,59.5,59.5,18.5,43.25,20.5,41.0,65.25,27.5,40.0,66.0,36.0
35,2019-02,64.75,71.75,37.25,62.75,22.5,54.0,20.5,28.25,66.0,24.5,42.5,54.25,56.0
36,2019-03,66.2,70.4,40.2,64.2,21.0,54.4,32.0,44.6,71.6,31.2,54.2,61.2,49.4
37,2019-04,68.5,77.25,44.25,66.75,21.25,52.25,24.5,33.5,68.25,31.0,47.25,65.5,46.5
38,2019-05,73.75,75.25,36.0,70.25,21.75,48.5,32.25,31.25,76.25,28.5,56.5,59.5,60.75
39,2019-06,73.6,79.2,57.6,71.2,32.0,54.6,38.2,30.6,74.0,21.4,60.0,66.4,52.4
