,index,homes for sale in Denver,Homes in Denver,townhouses in Denver,sell home in Denver,houses in Denver
0,2016-03,74.5,88.5,27.5,34.0,59.25
1,2016-04,72.75,80.5,18.5,25.0,58.25
2,2016-05,62.8,77.6,17.6,20.4,47.8
3,2016-06,53.75,60.25,9.75,26.25,48.5
4,2016-07,60.2,87.8,31.8,21.4,58.2
5,2016-08,69.5,72.0,10.0,9.25,47.25
6,2016-09,64.5,64.75,18.5,29.75,60.0
7,2016-10,65.0,79.0,14.8,20.0,69.4
8,2016-11,44.5,63.5,18.0,8.25,43.75
9,2016-12,40.25,45.5,18.75,31.25,41.75
10,2017-01,63.4,71.8,20.8,12.2,49.0
11,2017-02,61.0,70.5,33.5,0.0,51.75
12,2017-03,56.75,72.5,24.5,7.5,48.75
13,2017-04,53.4,73.8,20.6,6.0,52.2
14,2017-05,56.75,78.25,36.0,8.25,53.75
15,2017-06,59.75,71.5,18.0,0.0,51.0
16,2017-07,58.8,80.6,40.8,23.4,61.0
17,2017-08,57.75,69.5,18.0,8.0,51.75
18,2017-09,53.75,70.0,25.0,15.25,50.75
19,2017-10,56.4,64.8,20.0,24.2,83.8
20,2017-11,45.75,56.25,41.75,8.0,44.25
21,2017-12,55.6,58.0,21.2,0.0,48.2
22,2018-01,55.5,64.75,32.75,14.75,50.0
23,2018-02,62.25,69.5,35.0,0.0,47.75
24,2018-03,54.25,63.25,57.0,37.0,46.75
25,2018-04,63.8,68.8,26.2,12.0,48.0
26,2018-05,67.75,68.5,50.75,22.75,46.75
27,2018-06,61.5,74.25,21.0,7.75,48.0
28,2018-07,66.8,63.4,20.8,6.4,56.8
29,2018-08,61.5,63.75,25.75,7.75,52.75
30,2018-09,59.6,62.6,19.6,12.0,54.6
31,2018-10,71.75,66.0,46.25,7.5,75.0
32,2018-11,60.75,54.5,16.25,8.0,44.25
33,2018-12,67.0,58.2,34.6,0.0,49.0
34,2019-01,49.75,59.5,32.0,7.25,42.0
35,2019-02,58.75,52.0,7.75,14.0,47.25
36,2019-03,53.8,64.2,19.4,5.8,46.0
37,2019-04,49.0,56.5,16.75,7.5,47.0
38,2019-05,56.25,52.5,17.0,15.25,49.5
39,2019-06,54.8,69.8,13.6,24.6,45.0
40,2019-07,62.75,55.25,8.5,7.75,46.25
41,2019-08,49.5,54.75,8.25,7.75,45.25
42,2019-09,55.4,62.2,12.4,16.6,45.8
43,2019-10,52.0,55.25,15.25,7.0,60.5
44,2019-11,47.5,51.75,30.25,7.25,35.25
45,2019-12,48.6,53.6,12.6,5.4,40.4
46,2020-01,49.75,54.25,21.75,6.75,40.75
47,2020-02,44.75,51.5,25.0,13.0,40.75
48,2020-03,37.2,36.8,11.2,4.8,30.4
49,2020-04,45.5,46.25,19.0,11.75,32.0
50,2020-05,50.6,52.6,15.6,19.2,36.4
51,2020-06,50.25,59.0,14.25,12.75,43.25
52,2020-07,59.5,62.25,28.75,6.5,48.75
53,2020-08,51.4,57.4,39.0,9.8,43.6
54,2020-09,52.0,41.0,25.75,21.5,45.75
