Keyword,Match type,Impr.,Interactions,Interaction rate,Conv. rate
"""what is the value of my home""",Phrase match,"3,212",476,14.82%,16.81%
 +online +home +appraisal,Broad match,289,40,13.84%,8.75%
 +trelora +agent,Broad match,0,0, --,0.00%
 +market +value +of +my +house,Broad match,493,59,11.97%,10.17%
 +how +much +would +my +house +be +worth,Broad match,158,23,14.56%,4.35%
 +Redfin +how +much +house +can +i +afford,Broad match,0,0, --,0.00%
 +selling +home +with +redfin,Broad match,3,2,66.67%,0.00%
"""Hoboken real estate agent""",Phrase match,12,0,0.00%,0.00%
"""redfin listing""",Phrase match,3,0,0.00%,0.00%
[redfin selling costs],Exact match,30,4,13.33%,0.00%
 +house +estimate,Broad match,"18,525","1,250",6.75%,9.34%
"""enkels and volkers""",Phrase match,1,0,0.00%,0.00%
"""San Lorenzo real estate agent""",Phrase match,0,0, --,0.00%
"""Fairfax real estate agent""",Phrase match,22,0,0.00%,0.00%
 +current +market +value +of +my +property,Broad match,61,7,11.48%,0.00%
"""Cloverdale real estate agent""",Phrase match,0,0, --,0.00%
"""home value estimate""",Phrase match,"13,894","1,364",9.82%,12.99%
"""redfin seller fees""",Phrase match,0,0, --,0.00%
[redfin reviews],Exact match,196,7,3.57%,0.00%
"""free realtors""",Phrase match,1,0,0.00%,0.00%
 +buying +with +redfin,Broad match,14,0,0.00%,0.00%
"""Rohnert Park realtor""",Phrase match,1,0,0.00%,0.00%
"""what is my property worth""",Phrase match,"1,200",173,14.42%,15.90%
 +listing +agent,Broad match,"26,292",608,2.31%,6.44%
"""house value estimate""",Phrase match,"3,232",411,12.72%,13.38%
 +Redfin +sign +in,Broad match,0,0, --,0.00%
"""1 listing fee""",Phrase match,8,0,0.00%,0.00%
"""how much my house worth""",Phrase match,"4,598",730,15.88%,16.03%
"""discount real estate agent""",Phrase match,14,2,14.29%,0.00%
 +redfin +vs. +rex,Broad match,0,0, --,0.00%
"""local realtors""",Phrase match,174,6,3.45%,0.00%
 +home +valuations,Broad match,292,11,3.77%,18.18%
"""home bay real""",Phrase match,0,0, --,0.00%
 +redfin +cost,Broad match,48,4,8.33%,0.00%
"""engel and volkers listings""",Phrase match,0,0, --,0.00%
"""engel and volkers real estate agents""",Phrase match,0,0, --,0.00%
