DATE,MORTGAGE15US
2016-03-03,2.94
2016-03-10,2.96
2016-03-17,2.99
2016-03-24,2.96
2016-03-31,2.98
2016-04-07,2.88
2016-04-14,2.86
2016-04-21,2.85
2016-04-28,2.89
2016-05-05,2.86
2016-05-12,2.81
2016-05-19,2.81
2016-05-26,2.89
2016-06-02,2.92
2016-06-09,2.87
2016-06-16,2.81
2016-06-23,2.83
2016-06-30,2.78
2016-07-07,2.74
2016-07-14,2.72
2016-07-21,2.75
2016-07-28,2.78
2016-08-04,2.74
2016-08-11,2.76
2016-08-18,2.74
2016-08-25,2.74
2016-09-01,2.77
2016-09-08,2.76
2016-09-15,2.77
2016-09-22,2.76
2016-09-29,2.72
2016-10-06,2.72
2016-10-13,2.76
2016-10-20,2.79
2016-10-27,2.78
2016-11-03,2.84
2016-11-10,2.88
2016-11-17,3.14
2016-11-23,3.25
2016-12-01,3.34
2016-12-08,3.36
2016-12-15,3.37
2016-12-22,3.52
2016-12-29,3.55
2017-01-05,3.44
2017-01-12,3.37
2017-01-19,3.34
2017-01-26,3.40
2017-02-02,3.41
2017-02-09,3.39
2017-02-16,3.35
2017-02-23,3.37
2017-03-02,3.32
2017-03-09,3.42
2017-03-16,3.50
2017-03-23,3.44
2017-03-30,3.39
2017-04-06,3.36
2017-04-13,3.34
2017-04-20,3.23
2017-04-27,3.27
2017-05-04,3.27
2017-05-11,3.29
2017-05-18,3.27
2017-05-25,3.19
2017-06-01,3.19
2017-06-08,3.16
2017-06-15,3.18
2017-06-22,3.17
2017-06-29,3.17
2017-07-06,3.22
2017-07-13,3.29
2017-07-20,3.23
2017-07-27,3.20
2017-08-03,3.18
2017-08-10,3.18
2017-08-17,3.16
2017-08-24,3.16
2017-08-31,3.12
2017-09-07,3.08
2017-09-14,3.08
2017-09-21,3.13
2017-09-28,3.13
2017-10-05,3.15
2017-10-12,3.21
2017-10-19,3.19
2017-10-26,3.25
2017-11-02,3.27
2017-11-09,3.24
2017-11-16,3.31
2017-11-22,3.32
2017-11-30,3.3
2017-12-07,3.36
2017-12-14,3.36
2017-12-21,3.38
2017-12-28,3.44
2018-01-04,3.38
2018-01-11,3.44
2018-01-18,3.49
2018-01-25,3.62
2018-02-01,3.68
2018-02-08,3.77
2018-02-15,3.84
2018-02-22,3.85
2018-03-01,3.9
2018-03-08,3.94
2018-03-15,3.9
2018-03-22,3.91
2018-03-29,3.9
2018-04-05,3.87
2018-04-12,3.87
2018-04-19,3.94
2018-04-26,4.02
2018-05-03,4.03
2018-05-10,4.01
2018-05-17,4.08
2018-05-24,4.15
2018-05-31,4.06
2018-06-07,4.01
2018-06-14,4.07
2018-06-21,4.04
2018-06-28,4.04
2018-07-05,3.99
2018-07-12,4.02
2018-07-19,4.0
2018-07-26,4.02
2018-08-02,4.08
2018-08-09,4.05
2018-08-16,4.01
2018-08-23,3.98
2018-08-30,3.97
2018-09-06,3.99
2018-09-13,4.06
2018-09-20,4.11
2018-09-27,4.16
2018-10-04,4.15
2018-10-11,4.29
2018-10-18,4.26
2018-10-25,4.29
2018-11-01,4.23
2018-11-08,4.33
2018-11-15,4.36
2018-11-21,4.24
2018-11-29,4.25
2018-12-06,4.21
2018-12-13,4.07
2018-12-20,4.07
2018-12-27,4.01
2019-01-03,3.99
2019-01-10,3.89
2019-01-17,3.88
2019-01-24,3.88
2019-01-31,3.89
2019-02-07,3.84
2019-02-14,3.81
2019-02-21,3.78
2019-02-28,3.77
2019-03-07,3.83
2019-03-14,3.76
2019-03-21,3.71
2019-03-28,3.57
2019-04-04,3.56
2019-04-11,3.6
2019-04-18,3.62
2019-04-25,3.64
2019-05-02,3.6
2019-05-09,3.57
2019-05-16,3.53
2019-05-23,3.51
2019-05-30,3.46
2019-06-06,3.28
2019-06-13,3.26
2019-06-20,3.25
2019-06-27,3.16
2019-07-03,3.18
2019-07-11,3.22
2019-07-18,3.23
2019-07-25,3.18
2019-08-01,3.2
2019-08-08,3.05
2019-08-15,3.07
2019-08-22,3.03
2019-08-29,3.06
2019-09-05,3.0
2019-09-12,3.09
2019-09-19,3.21
2019-09-26,3.16
2019-10-03,3.14
2019-10-10,3.05
2019-10-17,3.15
2019-10-24,3.18
2019-10-31,3.19
2019-11-07,3.13
2019-11-14,3.2
2019-11-21,3.15
2019-11-27,3.15
2019-12-05,3.14
2019-12-12,3.19
2019-12-19,3.19
2019-12-26,3.19
2020-01-02,3.16
2020-01-09,3.07
2020-01-16,3.09
2020-01-23,3.04
2020-01-30,3.0
2020-02-06,2.97
2020-02-13,2.97
2020-02-20,2.99
2020-02-27,2.95
2020-03-05,2.79
2020-03-12,2.77
2020-03-19,3.06
2020-03-26,2.92
2020-04-02,2.82
2020-04-09,2.77
2020-04-16,2.8
2020-04-23,2.86
2020-04-30,2.77
2020-05-07,2.73
2020-05-14,2.72
2020-05-21,2.7
2020-05-28,2.62
2020-06-04,2.62
2020-06-11,2.62
2020-06-18,2.58
2020-06-25,2.59
2020-07-02,2.56
2020-07-09,2.51
2020-07-16,2.48
2020-07-23,2.54
2020-07-30,2.51
2020-08-06,2.44
2020-08-13,2.46
2020-08-20,2.54
2020-08-27,2.46
2020-09-03,2.42
2020-09-10,2.37
2020-09-17,2.35
2020-09-24,2.4
2020-10-01,2.36
2020-10-08,2.37
2020-10-15,2.35
2020-10-22,2.33
2020-10-29,2.32
2020-11-05,2.32
