,index,selling a house,sell home,selling your home,house appraisal,home values,home value estimator,house value,real estate values,value of house,how much is my house,property value,home worth,value of home,home value,home prices,home appraisal,price my house,how much is my house worth,house prices,house price,rex real estate,zillow,zillow com,zillows,real estate agents,best realtors,rex house,for sale by owner,fsbo
0,2016-03,70.75,64.5,26.5,29.25,37.75,27.5,47.75,53.25,22.0,35.5,24.25,29.75,36.25,57.0,46.25,44.5,0.0,23.0,45.0,35.5,0.0,63.25,10.0,24.75,49.5,28.5,15.0,73.0,29.75
1,2016-04,56.0,55.75,23.25,29.0,25.25,28.25,39.5,26.75,55.75,49.0,22.5,35.0,26.75,43.75,56.0,52.25,12.0,47.25,46.75,47.25,0.0,66.5,20.25,24.5,62.0,28.5,46.25,79.25,54.75
2,2016-05,46.0,49.6,20.0,17.2,16.4,43.4,31.8,0.0,18.4,37.8,20.2,38.0,29.4,48.0,45.8,44.6,10.0,49.4,46.8,42.6,0.0,65.6,34.0,40.0,34.4,23.4,0.0,63.6,44.4
3,2016-06,46.75,47.25,41.5,36.0,47.25,37.5,31.75,0.0,15.75,43.75,33.25,35.5,27.25,53.75,44.25,55.75,51.0,37.5,56.0,49.25,0.0,69.75,33.0,0.0,42.75,10.0,0.0,72.5,48.5
4,2016-07,49.0,49.8,20.4,29.8,38.8,24.6,36.4,35.2,32.2,28.4,27.2,38.6,23.6,52.2,52.0,57.8,0.0,30.8,62.0,47.4,0.0,68.6,36.2,10.4,36.2,16.6,0.0,73.6,42.4
5,2016-08,48.25,54.0,34.0,18.25,55.0,32.0,53.75,14.5,7.5,8.75,31.75,44.5,29.5,38.75,40.75,42.0,27.5,13.75,30.5,50.75,0.0,62.75,33.75,27.75,36.0,20.25,0.0,61.25,50.0
6,2016-09,32.25,41.0,23.75,25.75,19.25,28.5,31.25,13.5,32.75,29.25,23.5,32.0,39.5,45.0,41.0,48.25,0.0,24.5,41.25,41.5,0.0,57.75,0.0,37.5,30.0,0.0,0.0,53.0,46.5
7,2016-10,28.6,53.0,6.2,13.4,25.4,23.0,44.6,0.0,42.0,36.8,38.2,26.8,18.2,32.6,29.8,51.6,0.0,19.6,49.8,42.6,22.6,55.6,0.0,29.8,25.6,15.6,0.0,56.4,51.8
8,2016-11,34.5,31.75,22.25,33.25,50.0,13.0,36.75,26.75,31.5,7.75,23.75,31.5,29.75,43.75,32.0,50.75,12.75,23.5,41.75,35.5,0.0,49.75,10.0,11.5,26.25,29.0,0.0,50.5,17.5
9,2016-12,45.0,68.25,8.0,15.25,37.5,13.0,30.5,12.75,29.0,16.25,14.0,33.0,26.0,36.5,26.5,28.5,48.25,12.25,34.5,38.5,0.0,48.0,9.5,47.75,38.25,9.75,14.75,49.0,20.25
10,2017-01,38.0,47.0,11.6,12.0,28.0,10.4,29.0,9.6,24.2,18.2,21.6,44.2,30.4,40.4,37.4,43.0,26.0,9.0,36.2,55.0,10.2,62.2,23.0,18.0,35.0,35.0,22.8,54.2,37.6
11,2017-02,21.25,49.75,20.5,22.25,28.25,12.75,48.75,0.0,29.25,32.75,33.5,43.0,20.75,44.75,42.5,49.0,10.75,31.25,37.25,36.75,0.0,67.0,9.25,10.75,44.0,25.0,14.0,57.25,44.5
12,2017-03,49.5,70.0,27.5,36.75,36.5,12.25,41.5,35.5,35.75,29.25,29.0,37.75,31.0,47.25,42.0,41.75,10.25,41.75,40.25,62.0,0.0,70.5,18.25,33.0,56.0,0.0,13.25,71.0,29.0
13,2017-04,56.6,37.0,33.6,18.0,29.4,20.4,39.6,0.0,31.6,37.0,49.2,43.2,27.8,45.6,55.8,42.4,17.0,8.2,38.8,52.6,0.0,70.0,25.8,34.8,49.6,26.8,11.2,66.2,53.8
