month,ct_listings,ct_sales,median_listing_price,average_listing_price,active_listing_count,median_days_on_market,price_increased_count,price_reduced_count,median_listing_price_per_square_foot,median_square_feet,pending_listing_count,pending_ratio,MORTGAGE15US,MORTGAGE30US,MORTGAGE5US,unemployment_rate,labor_force,employed_person,avg_hour_salary,avg_week_salary,month_of_supply
2016-07,8163,6408,495050.0,677178,7272,34.0,304,3388,169.4941394,3056.0,418,0.0575,2.7475,3.4400000000000004,2.7499999999999996,3.1,1550593,1502530,28.9023851051499,1002.48580043031,1.1348314606741574
2016-08,7690,6607,490050.0,662945,7567,35.5,256,3420,170.6326271,2957.0,452,0.0597,2.745,3.435,2.745,3.0,1550968,1505017,28.8125242264668,1000.05520219073,1.1453004389284092
2016-09,6940,6101,489500.0,658287,7631,40.5,284,3416,171.4881852,2918.0,438,0.0574,2.756,3.46,2.8140000000000005,2.9,1556661,1511621,28.7269653422892,995.2035113522568,1.250778560891657
2016-10,5367,5599,489050.0,660755,7349,43.0,212,3176,171.6200466,2910.0,423,0.0576,2.7624999999999997,3.47,2.8274999999999997,2.8,1559265,1516132,29.185001132058506,1031.3790767313901,1.3125558135381319
2016-11,3965,5300,497050.0,673558,6365,49.5,264,2324,173.0388085,2910.0,395,0.0621,3.0275,3.7699999999999996,2.9850000000000003,2.6,1552680,1512232,28.8318669693429,997.0948839750308,1.200943396226415
2016-12,2766,5158,514050.0,703118,4897,64.0,200,968,175.8686847,2996.0,328,0.067,3.428,4.198,3.226,2.6,1546372,1506087,28.706369612790798,991.628268391249,0.949398991857309
2017-01,3985,3715,529440.0,726591,4289,69.5,236,1100,181.75565580000003,3015.5,273,0.0637,3.3875,4.15,3.2424999999999997,3.1,1551644,1503753,28.412925869724607,1000.86640283955,1.1545087483176313
2017-02,4836,3583,537000.0,743657,4265,41.0,236,1096,183.6764806,3115.0,302,0.0708,3.38,4.1675,3.195,2.9,1561468,1516025,28.471446875025702,993.845378655141,1.1903432877476974
2017-03,7030,5438,549050.0,744191,4655,29.5,268,1372,183.9666667,3130.0,337,0.0724,3.414,4.196,3.214,2.7,1565366,1523841,28.3360897612117,989.235930724166,0.8560132401618242
2017-04,6808,5351,539050.0,728484,5266,26.0,244,1532,208.33333330000002,2624.0,500,0.0949,3.3,4.045,3.1475,2.5,1569516,1530715,28.637545655155698,1019.3828265205499,0.9841151186694076
2017-05,7684,6533,529500.0,713719,6064,25.5,312,2344,210.43065380000002,2584.0,587,0.0968,3.255,4.01,3.1174999999999997,2.4,1578773,1540580,28.4037779899009,1017.73465204511,0.9282106229909689
2017-06,8042,6855,522550.0,699105,6715,29.0,300,2916,183.13233780000002,3015.0,589,0.0877,3.174,3.904,3.136,2.8,1601872,1557094,28.2849724011718,1018.62029746556,0.9795769511305616
2017-07,6771,6095,515050.0,690954,7362,31.0,332,3508,184.4965675,2947.0,613,0.0833,3.2350000000000003,3.9675,3.2199999999999998,2.7,1606149,1563275,28.9396666579601,1043.49550331992,1.2078753076292044
2017-08,6624,6267,499950.0,679705,7576,34.5,292,3660,184.8666451,2868.0,603,0.0796,3.16,3.88,3.152,2.7,1606854,1563350,28.945678390763607,1028.86655932836,1.208871868517632
2017-09,5955,5486,499950.0,678067,7548,37.0,284,3484,186.6477273,2826.0,506,0.067,3.1049999999999995,3.805,3.1624999999999996,2.6,1612543,1569908,29.0778917508978,1027.68825427151,1.3758658403208166
