month,ct_listings,ct_sales,homes for sale,townhomes for sale,Homes in,townhouses in,Homes near me,zillow homes for sale,selling a house,house appraisal,home values,house valuations,property value,real estate values,home value estimator,how much is my house,home worth,house prices,rexhomes,zillow,real estate agents,best realtors,for sale by owner,redfin,trulia,realtor.com,Homes in Denver,selling a house in Denver,house appraisal in Denver,for sale by owner in Denver,median_listing_price,active_listing_count,median_days_on_market,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,pending_ratio,supply_score,demand_score,ldpviews_per_property_vs_us,MORTGAGE15US,MORTGAGE30US,MORTGAGE5US,unemployment_rate,avg_hour_salary,avg_week_salary,building_permits,building_permits_1unit
2016-03,12897,5242,71.27975087120916,45.73185467629756,100.0,100.0,1.1525160346744947,9.873854251746984,98.21613825561096,100.0,85.20009026628551,100.0,70.20052310374889,65.70238773829881,28.789516346933265,77.64810453894823,80.89677340603005,36.57723365459753,0.0,31.12290502793289,83.02801087341922,79.2063492063492,71.95066727045098,13.663481592860265,97.0849215449296,32.60861229341612,83.90058011460616,78.68614199549452,28.60854137625142,90.4573307427888,,,,,,,,,,,,,,2.966,3.6940000000000004,2.896,3.5,29.121115679601804,1005.49439739624,1358.08927127269,849.0039551361549
2016-04,10652,5554,65.37777118706903,73.1210225289332,99.89268851051655,28.638918302516913,2.927375493228098,6.588619656956168,91.466562080919,77.17559064466342,68.79544656737372,96.28165978085146,21.86573670444639,66.6999176641966,50.17562820859228,49.66061781410174,43.361679619156114,75.77494139098724,19.782327839329763,41.513966480446896,100.0,41.12942612942613,56.3277483284942,18.038511907649024,93.42299627093084,44.912573334867105,90.41004681999443,100.0,66.93068052211379,70.11657450306382,,,,,,,,,,,,,,2.87,3.605,2.8325,3.2,29.0559148944497,1003.53557842377,1532.26106714199,825.727158092088
2016-05,9340,6313,67.31667531697181,36.40611154372874,86.21548147088279,64.9914474220087,0.0,3.3741718849260494,61.840540472153904,75.27009379081086,95.27606438995029,47.458236033770504,48.5318221447253,49.77515992146432,100.0,69.64953594680715,62.94502990600972,52.61578536077098,24.824022237012105,35.74301675977651,35.88819288500176,32.573870573870565,63.168269358834216,18.71853324926033,87.57527864720531,44.45339161777667,68.6270620984707,67.83809316183414,49.40818654162972,88.82827678971753,,,,,,,,,,,,,,2.8425000000000002,3.6,2.8125,3.0,29.3176872426058,1031.81429175695,2241.19924317403,780.248762285985
2016-06,9525,6909,59.772373396604,92.56867431057155,81.72843039061381,55.88498818929707,5.284967778302518,13.172701697068705,76.1013132258799,67.88555146622342,100.0,44.057242081312495,70.92414995640803,90.79897396921908,85.93623345041881,49.9318926905851,33.46421450950078,65.36598072414688,4.063735661433658,42.670391061452534,38.09833353031557,42.98534798534799,57.79281319091128,12.829218606004758,95.71105395271006,38.489781049886844,55.31630058294788,48.00523217789406,14.402483842352039,72.61246450455836,,,,,,,,,,,,,,2.8419999999999996,3.568,2.776,3.4,29.0061691133952,1001.05592500151,1258.2992787752,806.9871575750632
2016-07,8170,6408,61.8150811892934,95.73856770763416,84.63585634568602,40.320925307485524,4.7288959307728495,18.48262092748886,61.55208623263577,88.56226997506819,82.66887317586867,9.582659720974787,32.978204010462065,100.0,38.77870845717375,99.14577272937171,56.89872645156046,74.96327168533462,0.0,44.56536312849161,32.134499468147986,16.73504273504276,61.12783356863152,12.576029490226505,79.17919158738516,48.13451436021318,58.33374652037483,98.51028268294466,52.45976428842983,82.67075175609027,495050.0,7272.0,34.0,304.0,3388.0,418.0,169.4941394,3056.0,677178.0,0.0575,98.3277592,91.63879599,1.75,2.7475,3.4400000000000004,2.7499999999999996,3.1,28.8952412539417,1002.48580043031,1557.79015367406,874.31462022991
2016-08,7697,6614,49.26966708682431,55.53288042748582,63.62140506510232,82.31652683880428,4.496564542421415,16.33995825392504,63.03863768629336,47.05568087379793,27.492352439697047,18.639602419016825,44.53356582388841,20.07726898473621,34.7000810591732,33.897815948654056,77.2958457094031,29.09090909090909,16.376306620209046,33.407821229050306,47.81349722255054,48.77899877899878,40.94456727311474,6.674103894844059,60.858202402718824,38.51853982131213,58.26291445611594,53.586221931545666,0.0,80.22717082648333,490050.0,7567.0,35.5,256.0,3420.0,452.0,170.6326271,2957.0,662945.0,0.0597,98.66220736,91.63879599,1.7447,2.745,3.435,2.745,3.0,28.8116274018704,1000.05520219073,1494.7000697803,913.0067117964461
2016-09,6950,6109,38.9337880922369,24.458258371150066,42.83874660180285,43.32491651054819,8.171970931915464,22.67900898448136,42.92274993041674,92.12275911195536,37.90431773732504,53.218370157475604,9.956408020924158,10.64823611375008,8.619292083220753,31.652583460313096,14.808560849574834,0.0,26.08933954508084,19.815642458100527,20.960879328684555,3.0158730158730136,29.15079513065716,1.7509821991560344,53.7151239063291,31.640400322098195,48.37829988879363,61.98677421699004,13.439361297680895,86.05589597967419,489500.0,7631.0,40.5,284.0,3416.0,438.0,171.4881852,2918.0,658287.0,0.0574,97.65886288,93.31103679,1.7955,2.756,3.46,2.8140000000000005,2.9,28.7199601650687,995.2035113522568,1930.6509547452,906.829651544454
2016-10,5371,5599,28.381404315266394,25.461185252812754,39.07855201030194,57.093752545410176,3.720349182650562,11.200653416825483,16.76577009691049,58.307016502433775,0.0,58.04442847733672,74.11508282476012,62.79688390651724,34.12050797081871,62.00766495821218,31.175489278593787,7.849960927324843,26.12379125396391,14.540782122905016,18.06524051530552,10.336996336996352,15.806717988332805,7.314352233593638,48.954104558554675,22.562214808849998,100.0,68.81476636872328,17.93942466100619,48.379913316395175,489050.0,7349.0,43.0,212.0,3176.0,423.0,171.6200466,2910.0,660755.0,0.0576,97.99331104,94.31438127,1.8372,2.7624999999999997,3.47,2.8274999999999997,2.8,29.1872895798453,1031.3790767313901,2442.4759020552,922.7956859467412
2016-11,3966,5302,6.63601987098687,14.200746489084622,12.197739304621566,26.952838641361907,0.14701625557975007,0.0,20.725690139419516,84.7204084055562,45.376360262775144,13.813544099155749,39.05841325196164,57.334220026600796,8.004593353147799,10.008311400470989,46.718476624486335,0.07814535035166159,0.0,3.525139664804442,10.30020092187685,71.8192918192918,11.523401081484264,0.0,32.05863212371006,3.0158364967981433,39.556166285354045,36.654312913305716,56.298314535546844,77.2829173516664,497050.0,6365.0,49.5,264.0,2324.0,395.0,173.0388085,2910.0,673558.0,0.0621,96.98996656,95.65217391,1.9524,3.0275,3.7699999999999996,2.9850000000000003,2.6,28.8336895790159,997.0948839750308,2349.5752989541,924.226979816073
2016-12,2768,5156,0.0,29.49303187347277,0.0,59.91691781379817,5.604899526196302,2.5002268808421846,35.01556134713179,21.898373501127853,31.51672433679349,16.22058559367703,0.0,27.764582937488125,41.85355309375846,42.5324375490604,54.66289620376776,9.861943214378726,13.440081431311894,0.0,38.65973289209313,7.8205128205128185,13.594470046082947,0.6353979725469259,33.737229745782855,0.40358142566811495,27.55367299669216,14.432090691083488,35.92700544924596,77.17082648333582,514050.0,4897.0,64.0,200.0,968.0,328.0,175.8686847,2996.0,703118.0,0.067,90.96989967,95.65217391,2.0238,3.428,4.198,3.226,2.6,28.703273452428107,991.628268391249,1451.48536244634,996.433042333874
