,number of sales,number of listings
0,6779.551843185302,11405.760710585542
1,6165.396168584606,8954.931903300292
2,5797.018626654057,8966.81624199526
3,5936.894086917093,11344.09391153233
4,6372.756299200164,6874.293924446846
5,7369.69182326426,9979.776286307291
6,5900.059963514102,6359.415915078556
7,6428.102132835122,9614.26076257519
8,5156.202449095003,10384.052163698436
9,7067.811480190542,6963.0401013778355
10,6021.818265014224,9827.851194112609
11,6350.236339819926,10931.005701496435
12,6642.1334755486605,6622.590645093294
13,6688.362520568459,7677.418538076807
14,6889.908172161685,8622.598363275434
15,6254.366928987003,8516.93081678902
16,5646.9293562372,10736.271504799555
17,6285.6040316961635,12183.761402630382
18,6635.882074002437,10699.57108204575
19,5841.552605916732,11602.417494215111
20,6686.1200409623925,13766.55139518129
21,6532.894417172719,7884.444240796089
22,6169.269017122853,9412.502337491529
23,6085.414969017502,11098.160813690105
24,7118.395536582,8134.209244350482
25,5418.648623608671,6697.61660102663
26,5968.486548456878,10587.287490362132
27,6082.201972200796,10065.014232840262
28,6600.151564440439,9352.841447213823
29,5061.168477551327,11931.0911847218
30,6069.078410142692,7458.508306824067
31,7915.803050712556,9185.055022661434
32,5899.693034017822,6601.947433626063
33,5601.84938271308,9707.812850074204
34,6336.710336743123,6436.973952134432
35,5943.733117822185,7162.566186786007
36,7205.820500311913,4642.324438357025
37,6169.522275266056,10928.846051083872
38,5497.455607085592,8559.432201051779
39,6741.915293381802,10733.97241663601
40,6823.850562067899,8222.819567416382
41,6007.772891653756,8557.663990633078
42,7035.960212836517,5031.3570007812195
43,6486.266113573684,11183.175686233819
44,7006.9692862613165,12498.907293876307
45,5977.883365566086,15486.679972052167
46,6264.851867788441,9862.190362198915
47,6241.898116883816,7858.861977128459
48,6349.592874359433,6590.295466102237
49,6204.502792292905,10317.723741402151
