number of sales,number of listings
6654.361499078762,8400.166294147395
6035.467491404132,8701.268452504755
7498.41805871177,-5915.436318045271
5913.599046149184,9419.328124638927
6894.492886231376,10855.153365250952
6949.613635780321,4555.335327852732
6932.685756723278,9760.529248711011
6536.694281271991,7728.818569149508
5419.542721958966,7515.271769671329
6891.5688137530415,2076.143395860181
6203.383533771179,6684.830384582449
7123.95017301331,7295.368873975682
8384.042924106425,4159.10100281678
6355.653422682905,6830.109016598986
6861.443881855437,1378.77382728257
6098.850880448956,2239.7070852338584
5323.128475714204,4011.4177667788226
6898.51587768666,7540.550479736746
7434.8896720461225,6845.9358356849125
6760.8058912244705,10038.036012017854
4831.821133699716,2303.056428798258
6064.17775981532,1304.8280771746213
6559.55387314942,6566.8186159577635
5473.636755784875,9640.539849784205
5679.004924638801,7216.972007731736
5667.587444310866,5291.030520527111
7107.297745568763,7053.987008488393
7403.132585384645,3218.8581428132547
5556.526156138403,9059.173158007072
6537.752352702315,7729.806737341071
6039.12547733625,2667.5240976142377
6732.050538254604,9609.339274564889
5939.962354582731,12398.992019184767
5442.330931432284,6842.779889388921
5362.647742409434,6472.294569229406
6449.045558194356,7274.326039220244
7750.908193456431,7768.220635618289
6023.311129342299,8446.53506503964
5846.330502444502,6944.4107921570385
7476.90013192489,8757.71132380209
5596.884622034882,5058.9773358743205
6986.988146278936,4600.044074697751
7034.4896835566815,10065.489602533047
4730.791122986584,316.1632923222296
6080.678731884,5895.706084002376
7012.623984555911,4588.818186166387
7418.50015358446,5874.550504302314
6872.579963666395,10352.628097345081
7676.561726772581,7789.797664253607
5427.4806313801655,6062.415741234227
